Year	Total	Gas	Liquids	Solids	Production	Flaring	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	J-D	D-N	DJF	MAM	JJA	SON	Glob	NHem	SHem	24N-90N	24S-24N	90S-24S	64N-90N	44N-64N	24N-44N	EQU-24N	24S-EQU	44S-24S	64S-44S	90S-64S
1881	243	0	4	239	0	0	-0.09	-0.14	0.01	-0.03	-0.04	-0.28	-0.06	-0.02	-0.08	-0.19	-0.26	-0.15	-0.11	-0.12	-0.15	-0.02	-0.12	-0.18	-0.11	-0.2	-0.03	-0.3	-0.01	-0.06	-0.66	-0.46	-0.13	-0.04	0.02	-0.06	-0.02	0.33
1882	256	0	4	252	0	0	0.1	0.09	0.02	-0.2	-0.17	-0.25	-0.1	0.04	-0.01	-0.22	-0.21	-0.25	-0.1	-0.09	0.01	-0.12	-0.1	-0.14	-0.1	-0.18	-0.01	-0.23	-0.09	0.03	-1.36	-0.25	-0.01	-0.1	-0.09	0.03	0.08	0.37
1883	272	0	3	269	0	0	-0.33	-0.42	-0.17	-0.24	-0.25	-0.11	-0.08	-0.13	-0.18	-0.11	-0.2	-0.18	-0.2	-0.21	-0.33	-0.22	-0.11	-0.16	-0.2	-0.31	-0.09	-0.35	-0.21	-0.02	-0.32	-0.62	-0.18	-0.23	-0.2	-0.01	0	0.33
1884	275	0	4	271	0	0	-0.18	-0.11	-0.34	-0.36	-0.31	-0.38	-0.34	-0.26	-0.23	-0.22	-0.3	-0.29	-0.28	-0.27	-0.16	-0.34	-0.32	-0.25	-0.28	-0.43	-0.13	-0.57	-0.17	-0.12	-1.31	-0.62	-0.4	-0.2	-0.14	-0.15	-0.05	0.36
1885	277	1	4	273	0	0	-0.64	-0.29	-0.23	-0.44	-0.41	-0.5	-0.28	-0.27	-0.19	-0.19	-0.22	-0.05	-0.31	-0.33	-0.41	-0.36	-0.35	-0.2	-0.31	-0.42	-0.21	-0.61	-0.17	-0.2	-1.19	-0.72	-0.41	-0.1	-0.23	-0.27	-0.07	0.34
1886	281	2	5	275	0	0	-0.42	-0.45	-0.41	-0.29	-0.27	-0.39	-0.16	-0.31	-0.19	-0.25	-0.26	-0.25	-0.3	-0.29	-0.31	-0.32	-0.29	-0.23	-0.3	-0.39	-0.22	-0.49	-0.24	-0.2	-1.24	-0.47	-0.36	-0.23	-0.25	-0.18	-0.21	0.23
1887	295	3	5	287	0	0	-0.66	-0.48	-0.32	-0.37	-0.33	-0.2	-0.19	-0.27	-0.2	-0.32	-0.26	-0.38	-0.33	-0.32	-0.46	-0.34	-0.22	-0.26	-0.33	-0.38	-0.29	-0.47	-0.27	-0.27	-1.58	-0.58	-0.18	-0.23	-0.32	-0.24	-0.29	0.16
1888	327	5	5	317	0	0	-0.42	-0.43	-0.47	-0.29	-0.22	-0.2	-0.1	-0.11	-0.08	0.01	0	-0.13	-0.2	-0.22	-0.41	-0.33	-0.14	-0.02	-0.2	-0.24	-0.17	-0.43	0.07	-0.34	-1.46	-0.48	-0.21	0.06	0.07	-0.29	-0.37	0.12
1889	327	3	6	318	0	0	-0.2	0.14	0.04	0.04	-0.03	-0.12	-0.05	-0.18	-0.18	-0.22	-0.3	-0.31	-0.11	-0.1	-0.06	0.02	-0.11	-0.24	-0.11	-0.17	-0.06	-0.27	0.05	-0.17	-0.9	-0.19	-0.19	-0.01	0.1	-0.15	-0.16	0.15
1890	356	3	8	345	0	0	-0.48	-0.48	-0.41	-0.38	-0.48	-0.27	-0.29	-0.36	-0.36	-0.23	-0.37	-0.3	-0.37	-0.37	-0.42	-0.42	-0.31	-0.32	-0.37	-0.41	-0.33	-0.46	-0.38	-0.26	-1.36	-0.47	-0.27	-0.32	-0.43	-0.16	-0.39	0
